PROJECT_CODE,PROJECT_CATEGORY,PROJECT_ORGANIZATION,PROJECT_NAME,PROJECT_DESCRIPTION,PROJECT_STATUS,PROJECT_PHASE,PROJECT_PRIORITY,PROJECT_INNOVATION_STATUS,PROJECT_RESEARCH_DEVELOPMENT_LINK,PROJECT_SANOFI_THERAPEUTIC_AREA,ASSET_INN,ASSET_BRAND_NAME,ASSET_MECHANISM_OF_ACTION,ASSET_MOA_SHORT_NAME,ASSET_ACTIVE_SUBSTANCE_TYPE,ASSET_ACTIVE_SUBSTANCE_SUBTYPE,ASSET_ORIGIN_OF_ACTIVE_SUBSTANCE,ASSET_PHARMACOLOGICAL_EFFECT,INDICATION_UNIQUE_CODE,INDICATION_LEAD_FLAG,INDICATION_LONGNAME,INDICATION_SHORTNAME,INDICATION_PHASE,INDICATION_CODE_MEDDRA,INDICATION_NAME_MEDDRA,INDICATION_STATUS,INDICATION_SANOFI_THERAPEUTIC_AREA,INDICATION_SANOFI_SUB_THERAPEUTIC_AREA_FRANCHISE,INDICATION_PTRS
SAR448755,Development,PHARMA,STAT6 - SH2,SAR448755 - STAT6 sm - SH2,Ongoing,Phase 1,GATE,FiC,LC81391,LC81391,,,STAT6 sm - SH2,STAT6 - SH2,Synthetic,SM,Internal,Inhibition,SAR448755_IND002,FALSE,Asthma,Asthma,Initiation,10003553,Asthma,Ongoing,Immuno-inflammation,Respiratory,0.03
LC81342,Research,PHARMA,Factor Bb x aC1s Ab - AAV (LC81342),LC81342 - Factor Bb x aC1s Ab - AAV,Completed,M1-M2,Fast Track,BiC,SAR446597,SAR446597,,,Factor Bb x aC1s Ab - AAV,Factor Bb x aC1s AAV,Biologics,AAV GT,Internal,Inhibition,LC81342_IND001,TRUE,Age-related macular degeneration - Dry,AMD - Dry,,10075567,Dry age-related macular degeneration,Completed,Ophthalmology,,
SAR444671,Development,PHARMA,Wayrilz,SAR444671 - BTK sm,Ongoing,LCM,Medium,FiC,,,rilzabrutinib,Wayrilz,BTK sm,BTK,Synthetic,SM,Acquired,Inhibition,SAR444671_IND007,FALSE,Asthma - Moderate to Severe - Adult & Ped - 12-17 years,Asthma - Moderate to severe,Phase 2,10003553,Asthma,Ongoing,Immuno-inflammation,Respiratory,0.38
LC81647,Research,PHARMA,TREM1 x CD30L Nanobody VHH (LC81647),LC81647 - TREM1 x CD30L Nanobody VHH,Ongoing,M0-M1,Regular Priority,FiC,,,,,TREM1 x CD30L Nanobody VHH,TREM1xCD30L VHH,Biologics,NBDY,Internal,Antagonism,LC81647_IND002,,Chronic Obstructive Pulmonary Disease,COPD,,10009033,Chronic obstructive pulmonary disease,Ongoing,,,
SAR446681,Development,PHARMA,Tzield,SAR446681 - CD3 mAb,Ongoing,LCM,Medium,FiC,,,teplizumab,Tzield,CD3 mAb,CD3,Biologics,ANT,Acquired,Immune modulation,SAR446681_IND002,FALSE,"Type 1 diabetes, Stage 3 - Newly diagnosed",T1D Stage 3 Newly Diagn,Regulatory submission,10091460,Type 1 diabetes mellitus stage 3,Ongoing,DCVM,T1 Diabetes,0.79
HOE901,Development,PHARMA,Lantus/Toujeo,HOE901 - Insulin glargine,Completed,LCM,Standard,LCM project,,,,Lantus/Toujeo,Insulin glargine,Insulin glargine,Biologics,INS,Internal,Mimetism,HOE901_IND007,FALSE,Toujeo - T1DM/T2DM - Flexibility - Labeling Update,,,10012594,Diabetes,Stopped,DCVM,,1
SAR650984,Development,PHARMA,Sarclisa,SAR650984 - CD38 mAb,Ongoing,LCM,Medium,BiC,,,isatuximab,Sarclisa,CD38 mAb,CD38,Biologics,ANT,Licensed,Binding,SAR650984_IND022,FALSE,3L RRMM - Mono and Combo Pomalidomide - Japan,3L RRMM mono & w/Pd Japan,,10028228,Multiple myeloma,Stopped,Oncology,,
LC81680,Research,PHARMA,TSLP x TACI Hybrid (LC81680),LC81680 - TSLP x TACI Hybrid,Ongoing,M0-M1,Regular Priority,FiC,,,,,TSLP x TACI Hybrid,TSLPxTACI,Biologics,HYB,Internal,Modulation,LC81680_IND001,TRUE,Asthma,Asthma,,10003553,Asthma,Ongoing,Immuno-inflammation,Respiratory,
SAR650984,Development,PHARMA,Sarclisa,SAR650984 - CD38 mAb,Ongoing,LCM,Medium,BiC,,,isatuximab,Sarclisa,CD38 mAb,CD38,Biologics,ANT,Licensed,Binding,SAR650984_IND021,FALSE,NDMM - High Risk Post-ASCT Maintenance - Combo Lenalidomide,MM HR post-ASCT w/R,,10028228,Multiple myeloma,Stopped,Oncology,,
SP0178,Development,VACCINE,Fluzone HD / Efluelda,Influenza inactivated vaccine High Dose,Ongoing,Post-Launch,Medium,FiC,,,,Fluzone / Efluelda,Active immunization,,Biologics,IAV,Internal,,SP0178_IND006,FALSE,EU - Flu QIV HD,EU,,10022000,Influenza,Completed,Vaccines,FLU,
SAR448188,Development,PHARMA,Myqorzo,SAR448188 - Cardiac myosin sm,Ongoing,LCM,Standard,BiC,,,aficamten,Myqorzo,Cardiac myosin sm,Cardiac myosin,Synthetic,SM,Licensed,Inhibition,SAR448188_IND001,FALSE,Obstructive hypertrophic cardiomyopathy,oHCM,LCM,10020871,Hypertrophic cardiomyopathy,Completed,DCVM,Cardiovasc & Metabolism Disorders ,1
GZ419828,Development,PHARMA,Fabrazyme,GZ419828 - Algasidase beta recombinant protein,Completed,LCM,Standard,LCM project,,,,Fabrazyme,Algasidase beta recombinant protein,Algasidase beta,Biologics,REC,Acquired,Enzyme replacement therapy,GZ419828_IND004,FALSE,Fabry Disease - Japan,,LCM,10016016,Fabry's disease,Completed,Rare Diseases,,1
SAR236553,Development,PHARMA,Praluent,SAR236553 - Anti-PCSK-9 mAb,Completed,LCM,Standard,LCM project,,,alirocumab,Praluent,Anti-PCSK-9 mAb,PCSK9,Biologics,ANT,Licensed,Binding,SAR236553_IND009,FALSE,China 300 mg Q4W & Sydney,LDL-C reduc - 300mg Q4W - CN&AU,Phase 1,10020603,Hypercholesterolaemia,Stopped,DCVM,,
SAR445229,Development,PHARMA,amlitelimab,SAR445229 - OX40L mAb,Ongoing,Phase 3,High,BiC,,,amlitelimab,,OX40L mAb,OX40L,Biologics,ANT,Acquired,Blocking,SAR445229_IND003,FALSE,Systemic Sclerosis,SSc,Phase 2,10042953,Systemic sclerosis,Stopped,Immuno-inflammation,Other,0.22
LC81222,Research,PHARMA,CTPS1 sm (LC81222),LC81222 - CTPS1 sm,Ongoing,M1-M2,Regular Priority,BiC,SAR448447,SAR448447,,,CTPS1 sm,CTPS1,Synthetic,SM,Internal,Inhibition,LC81222_IND002,,Psoriasis Arthritis,PsA,,10037162,Psoriatic arthropathy,Ongoing,,,
LC81286,Research,PHARMA,OSM x IL23 Hybrid (LC81286),LC81286 - OSM x IL23 Hybrid,Ongoing,M1-M2,High Priority,FiC,SAR449310,SAR449310,,,OSM x IL23 Hybrid,OSMxIL23,Biologics,HYB,Internal,Binding,LC81286_IND002,,Psoriasis Arthritis,PsA,,10037162,Psoriatic arthropathy,Ongoing,,,
LC81390,Research,PHARMA,PIM1 sm - AI-driven (LC81390),LC81390 - PIM1 sm - AI-driven,Ongoing,M0-M1,High Priority,FiC,,,,,PIM1 sm - AI-driven,PIM1 AI-driven,Synthetic,SM,Internal,Inhibition,LC81390_IND002,,Chronic Obstructive Pulmonary Disease,COPD,,10009033,Chronic obstructive pulmonary disease,Ongoing,,,
SAR448632,Development,PHARMA,TL1Ax a4b7,SAR448632 - TL1A x a4b7 mAb,Ongoing,Preclinical,GATE,FiC,LC81660,LC81660,,,TL1A x a4b7 mAb,TL1Ax a4b7,Biologics,ANT,Internal,Inhibition,SAR448632_IND001,TRUE,Ulcerative Colitis,UC,Preclinical,10009900,Colitis ulcerative,Ongoing,Immuno-inflammation,Gastroenterology,0.08
LC81211,Research,PHARMA,TFRC x Tau MTBR mAb (FAE) (LC81211),LC81211 - TFRC x Tau MTBR mAb (FAE),Ongoing,M1-M2,Regular Priority,FiC,SAR447610,SAR447610,,,TFRC x Tau MTBR mAb (FAE),TFRCxTau MTBR (FAE),Biologics,ANT,Internal,Clearing,LC81211_IND001,FALSE,Alzheimer's Disease - TrioCODV,Alzheimer - TrioCODV,,10001896,Alzheimer's disease,Completed,Neurology,Neurodegenerative diseases,
SAR341402,Development,PHARMA,Truvelog/Insulin aspart,SAR341402 - Rapid acting insulin (SARA),Completed,LCM,Standard,FiC,,,insulin aspart,Truvelog/Insulin aspart,Rapid acting insulin (SARA),Insulin aspart,Biologics,INS,Internal,Mimetism,SAR341402_IND006,FALSE,T1 & T2 Diabetes mellitus - Premix 30/70,,,10012594,Diabetes,Stopped,DCVM,,
SAR650984,Development,PHARMA,Sarclisa,SAR650984 - CD38 mAb,Ongoing,LCM,Medium,BiC,,,isatuximab,Sarclisa,CD38 mAb,CD38,Biologics,ANT,Licensed,Binding,SAR650984_IND025,FALSE,2L Leukemia,2L Leukemia,,10024325,Leukaemic lymphoma,Stopped,Oncology,,
LC81668,Research,PHARMA,CD40L x PD1 Hybrid (LC81668),LC81668 - CD40L x PD1 Hybrid,Ongoing,M0-M1,Regular Priority,FiC,,,,,CD40L x PD1 Hybrid,CD40LxPD1,Biologics,HYB,Internal,Modulation,LC81668_IND002,,Multiple Sclerosis,MS,,10028245,Multiple sclerosis,Ongoing,,,
SAR236553,Development,PHARMA,Praluent,SAR236553 - Anti-PCSK-9 mAb,Completed,LCM,Standard,LCM project,,,alirocumab,Praluent,Anti-PCSK-9 mAb,PCSK9,Biologics,ANT,Licensed,Binding,SAR236553_IND013,FALSE,Post ACS - Japan - SC Route,,,10051592,Acute coronary syndrome,Stopped,DCVM,,
SAR650984,Development,PHARMA,Sarclisa,SAR650984 - CD38 mAb,Ongoing,LCM,Medium,BiC,,,isatuximab,Sarclisa,CD38 mAb,CD38,Biologics,ANT,Licensed,Binding,SAR650984_IND004,FALSE,1L NDMM - Ti - Combo Bortezomib-Lenalidomide,1L NDMM Ti w/VRd,LCM,10028228,Multiple myeloma,Completed,Oncology,Multiple Myeloma,1
AVE0010-1,Development,PHARMA,Soliqua,AVE0010-1 - Combo GLP1R peptide - Insulin Glargine,Completed,LCM,Standard,Little / Uncertain differentiation,,,Insulin Glargine/Lixisenatide,Soliqua,Combo GLP1R peptide - Insulin Glargine,GLP1R x Insulin glargine,Synthetic,PEP,Licensed,Agonism,AVE0010-1_IND007,FALSE,Lixilan - T2DM - Lixilan H Labeling Update - SC Route,,,10067585,Type 2 diabetes mellitus,Stopped,DCVM,,
SP0256,Development,VACCINE,RSV+hMPV mRNA,Respiratory syncytial virus + human metapneumovirus  mRNA combination vaccine,Ongoing,Phase 2,Very High,BiC,,,,,Active Immunization,,Biologics,MRNAV,Internal,,SP0256_IND001,TRUE,RSV+hMPV disease - older adults,RSV+hMPV disease - oa,Phase 2A,10061603,Respiratory syncytial virus infection,Ongoing,Vaccines,RSV,0.73
LC81685,Research,PHARMA,TSLP x OX40L Nanobody VHH (LC81685),LC81685 - TSLP x OX40L Nanobody VHH,Ongoing,M1-M2,Regular Priority,FiC,SAR449468,SAR449468,,,TSLP x OX40L Nanobody VHH,TSLPxOX40L,Biologics,NBDY,Internal,Antagonism,LC81685_IND001,TRUE,Asthma,Asthma,,10003553,Asthma,Ongoing,Immuno-inflammation,Respiratory,
LC81699,Research,PHARMA,VEGF x Ang2 x IL6 fusion protein (LC81699),LC81699 - VEGF x Ang2 x IL6 fusion protein,Ongoing,M0-M1,Regular Priority,BiC,,,,,VEGF x Ang2 x IL6 fusion protein,VEGFxAng2xIL6 Fusion,Biologics,FUP,Internal,Inhibition,LC81699_IND001,TRUE,Diabetic macular oedema,DME,,10012688,Diabetic retinal oedema,Ongoing,Ophthalmology,Neurodegenerative diseases,
SAR231893,Development,PHARMA,Dupixent,SAR231893 - IL4R mAb,Ongoing,LCM,High,FiC,,,dupilumab,Dupixent,IL4R mAb,IL4R,Biologics,ANT,Licensed,Inhibition,SAR231893_IND028,TRUE,Lichen Simplex Chronicus,LSC,Phase 3,10057292,Lichen simplex chronicus,Ongoing,Immuno-inflammation,Dermatology,0.59
SP0232,Development,VACCINE,RSV mAb,Respiratory syncytial virus mAb,Completed,Post-Launch,,FiC,,,nirsevimab,Beyfortus,Active immunization,,Biologics,ANT,Licensed,,SP0232_IND001,FALSE,Nirsevimab Common activities  (RSV mAb),,,10021430,Immunisation,Completed,Vaccines,RSV,
SAR445399,Development,PHARMA,IL1R3,SAR445399 - IL1R3 mAb,Ongoing,Phase 2,GATE,FiC,XC01151,XC01151,,,IL1R3 mAb,IL1R3,Biologics,ANT,Internal,Antagonism,SAR445399_IND001,FALSE,Bronchiectasis,Bronchiectasis,Initiation,10006445,Bronchiectasis,Ongoing,Immuno-inflammation,Respiratory,0.14
LC81696,Research,PHARMA,STAT6 sm - SH2 - Next Generation (LC81696),LC81696 - STAT6 sm - SH2 - Next Generation,Ongoing,M0-M1,Regular Priority,FiC,,,,,STAT6 sm - SH2 - Next Generation,STAT6 - SH2 - Next Gen,Synthetic,SM,Licensed,Inhibition,LC81696_IND003,,Chronic Obstructive Pulmonary Disease,COPD,,10009033,Chronic obstructive pulmonary disease,Ongoing,,,
HMR1726,Development,PHARMA,Aubagio,HMR1726 - DHO-DH sm,Completed,LCM,Standard,LCM project,,,teriflunomide,Aubagio,DHO-DH sm,DHO-DH,Synthetic,SM,Internal,Inhibition,HMR1726_IND004,FALSE,Behcet disease - PO -No Go,,,10028245,Multiple sclerosis,Stopped,Neurology,,
BIVV009,Development,PHARMA,Enjaymo,BIVV009 - Complement C1s mAb,Completed,LCM,Standard,FiC,,,sutimlimab,Enjaymo,Complement C1s mAb,C1s,Biologics,ANT,Acquired,Inhibition,BIVV009_IND002,FALSE,Immune Thrombocytopenic Purpura,ITP,,10074667,Immune thrombocytopenic purpura,Stopped,Rare Diseases,,
SAR442970,Development,PHARMA,brivekimig,SAR442970 - TNFa x OX40L Nanobody VHH,Ongoing,Phase 2B,GATE,FiC,XC01135,XC01135,brivekimig,,TNFa x OX40L Nanobody VHH,TNFa xOX40L,Biologics,NBDY,Internal,Blocking,SAR442970_IND006,FALSE,"Type 1 diabetes, Stage 3 - Newly diagnosed",T1D Stage 3 Newly Diagn,Phase 2,10091460,Type 1 diabetes mellitus stage 3,Ongoing,DCVM,T1 Diabetes,
LC81414,Research,PHARMA,IL10R Nanobody VHH (LC81414),LC81414 - IL10R Nanobody VHH,Ongoing,M0-M1,Regular Priority,FiC,,,,,IL10R Nanobody VHH,IL10R VHH,Biologics,NBDY,Licensed,Agonism,LC81414_IND004,,Osteoarthritis,OA,,10031161,Osteoarthritis,Ongoing,,,
LC81286,Research,PHARMA,OSM x IL23 Hybrid (LC81286),LC81286 - OSM x IL23 Hybrid,Ongoing,M1-M2,High Priority,FiC,SAR449310,SAR449310,,,OSM x IL23 Hybrid,OSMxIL23,Biologics,HYB,Internal,Binding,LC81286_IND003,,Hidradenitis Suppurativa,HS,,10020041,Hidradenitis suppurativa,Ongoing,,,
LC81683,Research,PHARMA,IL6 x OX40L Nanobody VHH (LC81683),LC81683 - IL6 x OX40L Nanobody VHH,Ongoing,M0-M1,Regular Priority,FiC,,,,,IL6 x OX40L Nanobody VHH,IL6xOX40L,Biologics,NBDY,Internal,Antagonism,LC81683_IND001,TRUE,Rheumatoid Arthritis,RA,,10039073,Rheumatoid arthritis,Ongoing,Immuno-inflammation,Rheumatology,
LC81683,Research,PHARMA,IL6 x OX40L Nanobody VHH (LC81683),LC81683 - IL6 x OX40L Nanobody VHH,Ongoing,M0-M1,Regular Priority,FiC,,,,,IL6 x OX40L Nanobody VHH,IL6xOX40L,Biologics,NBDY,Internal,Antagonism,LC81683_IND002,,Asthma,Asthma,,10003553,Asthma,Ongoing,,,
LC81644,Research,PHARMA,OX40L x NKG2D Nanobody VHH (LC81644),LC81644 - OX40L x NKG2D Nanobody VHH,Ongoing,M1-M2,Regular Priority,FiC,,,,,OX40L x NKG2D Nanobody VHH,OX40LxNKG2D,Biologics,NBDY,Internal,Blocking,LC81644_IND003,,Celiac Disease,Celiac Disease,,10007864,Celiac disease,Ongoing,,,
SAR439774,Development,PHARMA,Qfitlia,SAR439774 - Antithrombin III siRNA,Ongoing,LCM,Standard,FiC,,,fitusiran,Qfitlia,Antithrombin III siRNA,ATIII siRNA,Synthetic,OLIG,Licensed,Lowering,SAR439774_IND001,TRUE,Hemophilia A/B - Adult & Ped  - 12 years+,Hem A/B - Adult & Ped ≥12y,LCM,10066439,Hemophilia,Ongoing,Rare Diseases,Hemophilia,1
AVE0010,Development,PHARMA,Lyxumia/Adlyxin,AVE0010 - GLP1R peptide,Completed,LCM,Standard,LCM project,,,lixisenatide,Lyxumia/Adlyxin,GLP1R peptide,GLP1R,Synthetic,PEP,Licensed,Agonism,AVE0010_IND006,FALSE,Lyxumia - T2DM - Immediate Release - Elderly -  EU Type 2 Variation,,LCM,10067585,Type 2 diabetes mellitus,Completed,DCVM,,1
LC81692,Research,PHARMA,RIPK2 sm (LC81692),LC81692 - RIPK2 sm,Ongoing,M0-M1,Regular Priority,FiC,,,,,RIPK2 sm,RIPK2,Synthetic,SM,Internal,Inhibition,LC81692_IND001,TRUE,Parkinson's Disease,Parkinson,,10061536,Parkinson's disease,Ongoing,Neurology,Neurodegenerative diseases,
HOE901,Development,PHARMA,Lantus/Toujeo,HOE901 - Insulin glargine,Completed,LCM,Standard,LCM project,,,,Lantus/Toujeo,Insulin glargine,Insulin glargine,Biologics,INS,Internal,Mimetism,HOE901_IND006,FALSE,Toujeo - T1DM - U300 - Pregnancy - Labeling Update,,,10012594,Diabetes,Stopped,DCVM,,
LC81399,Research,PHARMA,IL25R sm (LC81399),LC81399 - IL25R sm,Ongoing,M0-M1,Regular Priority,FiC,,,,,IL25R sm,IL25R,Synthetic,SM,Internal,Antagonism,LC81399_IND001,TRUE,Asthma,Asthma,,10003553,Asthma,Ongoing,Immuno-inflammation,Respiratory,
XRP6976,Development,PHARMA,Taxotere,XRP6976 - Tubulin  inh.,Completed,LCM,Standard,LCM project,,,docetaxel,Taxotere,Tubulin  inh.,Tubulin,Synthetic,SM,Licensed,Inhibition,XRP6976_IND003,FALSE,Adjuvant Breast Cancer,,LCM,10006187,Breast cancer,Completed,Oncology,,
LC81700,Research,PHARMA,VEGF x Ang2 x IL6 AAV (LC81700),LC81700 - VEGF x Ang2 x IL6 AAV,Ongoing,M0-M1,Regular Priority,FiC,,,,,VEGF x Ang2 x IL6 AAV,VEGFxAng2xIL6 AAV,Biologics,AAV GT,Internal,Lowering,LC81700_IND002,,Diabetic macular oedema,DME,,10012688,Diabetic retinal oedema,Ongoing,,,
SP0242,Development,VACCINE,Tetanus Convergence,Tetanus vaccines - Process optimization,Ongoing,Post-Launch,Medium,LCM project,,,,,Active Immunization,,Biologics,VAC,Internal,,SP0242_IND001,FALSE,Common activities - Tetanus Convergence,,,10043376,Tetanus,Completed,Vaccines,PPH,
SAR445229,Development,PHARMA,amlitelimab,SAR445229 - OX40L mAb,Ongoing,Phase 3,High,BiC,,,amlitelimab,,OX40L mAb,OX40L,Biologics,ANT,Acquired,Blocking,SAR445229_IND001,TRUE,Atopic Dermatitis - Adult & Ped – 6 months-17 years,AD,Phase 3,10012438,Dermatitis atopic,Ongoing,Immuno-inflammation,Dermatology,0.7
SAR231893,Development,PHARMA,Dupixent,SAR231893 - IL4R mAb,Ongoing,LCM,High,FiC,,,dupilumab,Dupixent,IL4R mAb,IL4R,Biologics,ANT,Licensed,Inhibition,SAR231893_IND005,FALSE,Atopic Dermatitis - China,AD – CN,LCM,10012438,Dermatitis atopic,Completed,Immuno-inflammation,,1
LC81408,Research,PHARMA,GPR183 sm (LC81408),LC81408 - GPR183 sm,Ongoing,M1-M2,Regular Priority,BiC,,,,,GPR183 sm,GPR183,Synthetic,SM,Licensed,Inhibition,LC81408_IND002,,Chronic Obstructive Pulmonary Disease,COPD,,10009033,Chronic obstructive pulmonary disease,Ongoing,,,
LC81384,Research,PHARMA,TFRC x GLP1R fusion protein (LC81384),LC81384 - TFRC x GLP1R fusion protein,Ongoing,M1-M2,High Priority,FiC,,,,,TFRC x GLP1R fusion protein,TFRCxGLP1R,Biologics,FUP,Internal,Agonism,LC81384_IND002,,Alzheimer's Disease,Alzheimer,,10001896,Alzheimer's disease,Ongoing,,,
LC81693,Research,PHARMA,CD19 x Dectin1 Hybrid (MCE) (LC81693),LC81693 - CD19 x Dectin1 Hybrid (MCE),Ongoing,M0-M1,Regular Priority,BiC,,,,,CD19 x Dectin1 Hybrid (MCE),CD19xDectin1 MCE,Biologics,HYB,Licensed,Cytotoxicity,LC81693_IND005,,Systemic sclerosis,SSc,,10042953,Systemic sclerosis,Ongoing,,,
SAR446422,Development,PHARMA,CD28xOX40,SAR446422 - CD28 x OX40 Hybrid,Ongoing,Phase 1,GATE,FiC,LC81220,LC81220,,,CD28 x OX40 Hybrid,CD28xOX40,Biologics,HYB,Internal,Antagonism,SAR446422_IND001,TRUE,Connective Tissue Disease - Interstitial Lung Disease,ILD,Phase 1,10022611,Interstitial lung disease,Ongoing,Immuno-inflammation,Respiratory,0.07
SAR445761,Development,PHARMA,Rezurock ,SAR445761 - ROCK2 sm,Ongoing,LCM,Standard,FiC,,,belumosudil,Rezurock ,ROCK2 sm,ROCK2,Synthetic,SM,Acquired,Inhibition,SAR445761_IND001,FALSE,3L Chronic Graft versus Host Disease,3L cGVHD,LCM,10018651,Graft versus host disease,Ongoing,Transplant,Transplant (Hemato),0.45
SAR445877,Development,PHARMA,PD1xIL15,SAR445877 - PD1 x IL15 fusion protein,Ongoing,Phase 2,GATE,FiC,,,,,PD1 x IL15 fusion protein,PD1xIL15,Biologics,FUP,Internal,Immune stimulation,SAR445877_IND009,TRUE,3L+ Colorectal Cancer - Mono,3L+ CRC - Mono,Phase 2,10061451,Colorectal cancer,Ongoing,Oncology,Other Solid Tumors,0.26
SAR441344,Development,PHARMA,frexalimab,SAR441344 - CD40L mAb,Ongoing,Phase 3,High,BiC,XC01129,XC01129,frexalimab,,CD40L mAb,CD40L,Biologics,ANT,Internal,Antagonism,SAR441344_IND002,TRUE,Relapsing Multiple Sclerosis,RMS,Phase 3,10063399,Relapsing-remitting multiple sclerosis,Ongoing,Neurology,Neuro-inflammation,0.64
SAR449336,Development,PHARMA,Pan KRAS,SAR449336 - Pan KRAS sm,Ongoing,Preclinical,GATE,BiC,LC81697,LC81697,,,Pan KRAS sm,Pan KRAS,Synthetic,SM,Internal,Inhibition,SAR449336_IND001,TRUE,1L Colorectal Cancer - Combo,1L CRC - Combo,Preclinical,10061451,Colorectal cancer,Ongoing,Oncology,Other Solid Tumors,0.05
HOE901,Development,PHARMA,Lantus/Toujeo,HOE901 - Insulin glargine,Completed,LCM,Standard,LCM project,,,,Lantus/Toujeo,Insulin glargine,Insulin glargine,Biologics,INS,Internal,Mimetism,HOE901_IND013,FALSE,Toujeo - T1DM - U300 - China,,,10067584,Type 1 diabetes mellitus,Stopped,DCVM,,
SAR447754,Development,PHARMA,NKG2DxIL4xIL13,SAR447754 - NKG2D x IL4 x IL13 mAb,Ongoing,Preclinical,GATE,BiC,LC81237,LC81237,,,NKG2D x IL4 x IL13 mAb,NKG2DxIL4xIL13,Biologics,ANT,Internal,Blocking,SAR447754_IND001,TRUE,Atopic Dermatitis,AD,Preclinical,10012438,Dermatitis atopic,Ongoing,Immuno-inflammation,Dermatology,0.07
SP0276,Research,VACCINE,Rhinovirus mRNA,Rhinovirus mRNA vaccine,Ongoing,M0-M2,High,FiC,,,,,Active Immunization,,Biologics,MRNAV,Internal,,SP0276_IND001,TRUE,Rhinovirus diseases,Rhinovirus infection,M0-M2,10061494,Rhinovirus infection,Ongoing,Vaccines,Innovation & Vaccine Value,0.26
SAR442168,Development,PHARMA,Cenrifki,SAR442168 - BTK sm - Central,Ongoing,Regulatory submission,Medium,BiC,,,tolebrutinib,Cenrifki,BTK sm - Central,BTK central,Synthetic,SM,Acquired,Inhibition,SAR442168_IND003,TRUE,Nonrelapsing Secondary Progressive Multiple Sclerosis,nr-SPMS,Regulatory submission,10063400,Secondary progressive multiple sclerosis,Ongoing,Neurology,Neuro-inflammation,0.95
SAR650984,Development,PHARMA,Sarclisa,SAR650984 - CD38 mAb,Ongoing,LCM,Medium,BiC,,,isatuximab,Sarclisa,CD38 mAb,CD38,Biologics,ANT,Licensed,Binding,SAR650984_IND024,FALSE,1L NDMM - Ti - Combo Bortezomib Lenolidomide - China,1L NDMM Ti w/Borte VRd China,,10028228,Multiple myeloma,Stopped,Oncology,,
SAR231893,Development,PHARMA,Dupixent,SAR231893 - IL4R mAb,Ongoing,LCM,High,FiC,,,dupilumab,Dupixent,IL4R mAb,IL4R,Biologics,ANT,Licensed,Inhibition,SAR231893_IND034,FALSE,Atopic Dermatitis - Adult - Maintenance Treatment,,,,,Stopped,Immuno-inflammation,,
LC81313,Research,PHARMA,CEACAM5-TOPO1 ADC (LC81313),LC81313 - CEACAM5-TOPO1 ADC,Completed,M1-M2,Fast Track,,SAR445953,SAR445953,,,CEACAM5-TOPO1 ADC,CEACAM5-TOPO1,Biologics,ADC,Internal,Cytotoxicity,LC81313_IND001,TRUE,Serie for Bio Oncology Disco,,,10061451,Colorectal cancer,Completed,Oncology,,
XRP6976,Development,PHARMA,Taxotere,XRP6976 - Tubulin  inh.,Completed,LCM,Standard,LCM project,,,docetaxel,Taxotere,Tubulin  inh.,Tubulin,Synthetic,SM,Licensed,Inhibition,XRP6976_IND005,FALSE,"EU - mHSPC (metastatic, hormone-sensitive prostate cancer) - Type II variation",,LCM,10060862,Prostate cancer,Completed,Oncology,,1
SAR231893,Development,PHARMA,Dupixent,SAR231893 - IL4R mAb,Ongoing,LCM,High,FiC,,,dupilumab,Dupixent,IL4R mAb,IL4R,Biologics,ANT,Licensed,Inhibition,SAR231893_IND009,FALSE,Asthma - Adult & Ped - 12-17 years - China and EU Var,Asthma - Adult & Ped - CN,LCM,10003553,Asthma,Completed,Immuno-inflammation,Respiratory,1
LC81695,Research,PHARMA,CXCR3 x CCR6 sm (LC81695),LC81695 - CXCR3 x CCR6 sm,Ongoing,M0-M1,Regular Priority,FiC,,,,,CXCR3 x CCR6 sm,CXCR3xCCR6,Synthetic,SM,Licensed,Antagonism,LC81695_IND002,,Psoriasis,Psoriasis,,10037153,Psoriasis,Ongoing,,,
LC81352,Research,PHARMA,GUCY2C x NKp46 x CD16 mAb (NKCE) (LC81352),LC81352 - GUCY2C x NKp46 x CD16 mAb (NKCE),Ongoing,M1-M2,Regular Priority,FiC,,,,,GUCY2C x NKp46 x CD16 mAb (NKCE),GUCY2C x NKp46 x CD16 NKCE,Biologics,ANT,Internal,Cytotoxicity,LC81352_IND001,TRUE,Colorectal Cancer,CRC,,10061451,Colorectal cancer,Ongoing,Oncology,Other Solid Tumors,
SAR439684,Development,PHARMA,Libtayo,SAR439684 - PD1 mAb,Completed,LCM,Standard,Little / Uncertain differentiation,,,cemiplimab,Libtayo,PD1 mAb,PD1,Biologics,ANT,Licensed,Inhibition,SAR439684_IND012,FALSE,CSCC,CSCC,LCM,10041834,Squamous cell carcinoma of skin,Completed,Oncology,Melanoma,1
SP0230,Development,VACCINE,MenPenta,Neisseria meninigitidis (ACWY+B) combination vaccine,Ongoing,Phase 2,Very High,BiC,,,,,Active immunization,,Biologics,VAC,Internal,,SP0230_IND001,FALSE,Common activities,,,10004049,Bacterial meningitis,Completed,Vaccines,PMED_Pneumo Meningitis,
